# 系统解剖学题库导入数据（呼吸系统+泌尿系统+男性生殖系统）
## 一、选择题（题目|选项1|选项2|选项3|选项4|选项5|答案）
### 第五章 呼吸系统
左主支气管走行较水平,而右主支气管走行较垂直,所以气管异物易坠入右主支气管|正确|
左肺叶间裂包括斜裂和水平裂,将左肺分为上、中、下叶|错误|右肺叶间裂包括斜裂和水平裂,将右肺分为上、中、下叶
两侧肺尖均高出锁骨外侧1/3的上方2~3cm|错误|两侧肺尖均高出锁骨内侧1/3的上方2~3cm
左肺门上方有主动脉弓压迹,右肺门上方是奇静脉沟|正确|
支气管是肺的形态学和功能学的基本单位|错误|支气管肺段是肺的形态学和功能学的基本单位
胸膜腔呈负压|正确|
纵隔是两侧纵隔胸膜之间所有器官、结构和结缔组织的总称,呈矢状位偏左侧|正确|

### 第六章 泌尿系统
泌尿系统由肾、输尿管、膀胱、尿道和前列腺组成|错误|泌尿系统由肾、输尿管、膀胱、尿道组成
肾被膜由内向外为纤维囊、脂肪囊和肾筋膜,除纤维囊外均移行到肾窦的内面|错误|肾被膜由内向外为纤维囊、脂肪囊和肾筋膜,纤维囊移行到肾窦的内面
肾蒂与肾窦内的结构相连续|正确|
肾实质可分为皮质和髓质两部分|正确|
肾髓质被包于肾皮质深部,是由3~4个肾锥体和肾柱所组成|错误|肾髓质被包于肾皮质深部,是由15~20个肾锥体所组成
肾冠状切面上,肾实质可分为肾锥体和肾柱两部分|错误|肾冠状切面上,肾实质可分为肾皮质和肾髓质两部分
肾前筋膜和肾后筋膜在肾上腺的上方和肾外侧缘处互相愈着,在肾的下方则相互分离|正确|
肾乳头是肾柱伸入肾窦的部分,包有肾小盏|错误|肾乳头是肾锥体的尖端伸入肾窦的部分,包有肾小盏
输尿管向上经肾门、肾窦与肾小盏相续|错误|输尿管向上与肾盂相续,肾盂与肾大盏、肾小盏相续
输尿管向上与肾盂、肾大盏与肾小盏相续|正确|
膀胱空虚时为腹膜外位器官,膀胱充器时为腹膜内位器官|错误|膀胱空虚时为腹膜外位器官,膀胱充盈时为腹膜间位器官
膀胱排空时,黏膜出现许多皱,充盈时皱襞消失,但在膀胱三角区域内,不论排空或充盈,始终有皱装|错误|膀胱排空时,黏膜出现许多皱襞,充盈时皱襞消失,但在膀胱三角区域内,不论排空或充盈,始终无皱襞
腹膜在膀胱与腹前壁之间的返折,在膀胱充盈时,能够上移,沿耻骨联合上缘行膀胱穿刺术需经腹膜腔|错误|腹膜在膀胱与腹前壁之间的返折,在膀胱充盈时,能够上移,沿耻骨联合上缘行膀胱穿刺术不需经腹膜腔
膀胱的后方,在女性与子宫和阴道相邻;在男性与精囊和输精管起始部、直肠相邻|错误|膀胱的后方,在女性与子宫和阴道相邻;在男性与精囊、输精管壶腹和直肠相邻
肾门是肾血管、肾盂、神经及淋巴管出入肾的部位,它不与肾窦相通|错误|肾门是肾血管、肾盂、神经及淋巴管出入肾的部位,它与肾窦相通
第12肋斜越左肾后面上部,斜越右肾后面的中部|错误|第12肋斜越左肾后面中部,斜越右肾后面的上部
出入肾窦的所有结构,总称为肾蒂|错误|出入肾门的所有结构,总称为肾蒂
左侧肾蒂较右侧长|正确|
输尿管上端起自肾门,沿腹膜后方的腰方肌前面下行,最后直穿膀肌壁开口于膀胱|错误|输尿管上端起自肾盂,沿腹膜后方的腰大肌前面下行,最后斜穿膀胱壁开口于膀胱
膀胱的最下部为膀胱颈,与男、女性的盆膈相接|正确|

### 第七章 男性生殖系统
男性生殖腺包括睾丸、精囊、前列腺和尿道球腺|错误|男性附属腺体包括精囊、前列腺和尿道球腺，生殖腺是睾丸
附睾可分为头、体、尾三部分,附睾头延续为输精管|错误|附睾可分为头、体、尾三部分,附睾尾延续为输精管
男性尿道的海绵体部有尿道括约肌环绕,收缩时可关闭尿道|错误|男性尿道的膜部有尿道括约肌环绕,收缩时可关闭尿道
睾丸白膜坚厚致密,在睾丸后缘处增厚并突人睾丸,形成睾丸网|错误|睾丸白膜坚厚致密,在睾丸后缘处增厚并突入睾丸,形成睾丸纵隔
睾丸鞘膜腔是由鞘膜的脏层与鞘膜的壁层相互移行构成的,左右各一,相互连通|错误|睾丸鞘膜腔是由鞘膜的脏层与鞘膜的壁层相互移行构成的,左右各一,互不相通
精囊位于膀胱底与直肠之间,在输精管壶腹的内侧|错误|精囊位于膀胱底与直肠之间,在输精管壶腹的外侧
输精管盆部入骨盆后,弯曲向后下行于输尿管末端的后下方,至膀胱底后面,膨大形成输精管壶腹|错误|输精管盆部入骨盆后,弯曲向后下行于输尿管末端的前上方,至膀胱底后面,膨大形成输精管壶腹
# 系统解剖学题库导入数据（女性生殖系统+心血管系统）
## 一、选择题（题目|选项1|选项2|选项3|选项4|选项5|答案）
### 第八章 女性生殖系统 乳房 会阴
女性的生殖腺|子宫|输卵管|卵巢|阴道|前庭大腺|C
卵巢窝位于|髂外动脉和髂内动脉的夹角处|髂外动脉和髂总动脉的夹角处|髂内动脉和髂总动脉的夹角处|髂外动脉的分支之间|髂内动脉的分支之间|A
产生卵子和分泌女性激素的器官|子宫|输卵管|卵巢|阴道|前庭大腺|C
卵巢固有韧带|由腹膜皱襞构成|自卵巢上端连于骨盆壁|包绕输卵管|对子宫的位置起到固定作用|自卵巢下端连于输卵管与子宫结合处的后下方|E
卵巢|卵巢位置固定主要靠卵巢窝|卵巢悬韧带又称为卵巢子宫索|上端有卵巢固有韧带连于子宫|前缘借卵巢系膜连于子宫阔韧带|下端又称为输卵管端|D
输卵管最细的部位|输卵管腹腔口|输卵管漏斗|输卵管壶腹|输卵管峡|输卵管子宫部|D
输卵管|分为子宫部、峡部、壶腹部、漏斗部和伞部|位于子宫底两侧,包裹于子宫圆韧带上缘内|其子宫口直接通子宫颈管|其腹腔口直接通腹腔|壶腹部是受精部位|E
输卵管常用结扎部位在|输卵管子宫部|输卵管漏斗|输卵管壶腹|输卵管峡|输卵管伞|D
卵巢|为成对的附属腺|位于左、右髂总动脉之间|表面无腹膜覆盖|成对,表面光滑|产生的卵子直接排入腹膜腔|E
子宫|分为体、颈、峡三部分|子宫内腔即子宫腔|颈部全部位于阴道内|峡部在非妊娠期明显|子宫颈管通阴道|E
阴道|位于尿道的前方|穿过盆膈|上端包绕子宫颈的全部|上端直接通子宫腔|阴道口开口于阴道前庭|E
子宫峡位于|子宫与输卵管之间|子宫体与子宫颈之间|子宫颈阴道上部与子官颈阴道部之间|子宫颈与阴道之间|子宫体与子宫颈阴道部之间|B
子宫腔呈|椭圆形|三角形|菱形|梭形|圆形|B
子宫颈下端位于|坐骨棘平面以上|坐骨棘平面以下|耻骨联合上缘平面以上|耻骨联合上缘平面以下|尾骨尖平面以上|A
子宫的形态|子宫分为头、体、颈三部分|子宫与阴道相通,不与输卵管相通|子宫颈全部被阴道包绕|子宫口是子宫颈管的下口|子宫峡正常约5cm长|D
限制子官向两侧移位的韧带|子宫骶韧带|子宫圆韧带|子宫主韧带|子宫阔韧带|骨盆漏斗韧带|D
子宫后方相邻的结构|卵巢|输卵管|阴道|膀胱|直肠|E
子宫圆韧带的作用|牵引子宫颈向后|维持子宫前倾|上提子宫底|防止子宫向下脱垂|防止子宫向两侧移位|B
防止子宫脱垂的韧带|子宫骶韧带|子宫圆韧带|子宫主韧带|子宫阔韧带|骨盆漏斗韧带|C
子宫骶韧带|由腹膜皱襞形成|防止子宫脱垂|牵引子宫颈向后上|牵引子宫底向前下|防止子宫倾向一侧|C
子宫的位置|位于耻骨联合与直肠之间|位于耻骨联合与膀胱之间|位于直肠与膀胱之间|呈后倾后屈位|未妊娠时,子宫底位于小骨盆入口平面以上|C
手术时识别输卵管的标志|输卵管子宫部|输卵管峡|输卵管壶腹|输卵管伞|子宫阔韧带|D
阴道|位于尿道前方|为腹膜内位器官|位于直肠后方|位于膀胱下方|阴道后穹最深|E
属于内生殖器的结构|阴阜|前庭球|前庭大腺|小阴唇|阴蒂|C
前庭大腺|属于内分泌腺|位于前庭球深面|位于前庭球外侧|在阴蒂根部|导管开口于阴道前庭内,尿道口的两侧|E
阴道前庭|两侧大阴唇之间的裂隙|又称为阴道穹|两侧小阴唇之间的裂隙|尿道外口在后方,阴道口在前方|前庭球位于阴道前庭内|C
阴蒂|相当于男性的尿道海绵体 附着于耻骨上支|由阴蒂海绵体组成|位于前庭球的后端|神经末梢丰富|E
乳房|位于浅筋膜深面|乳腺叶有8~10个|每个乳腺叶有多条排泄管|输乳管以乳头为中心,呈放射状排列|乳房悬韧带对乳房无任何作用|D
乳腺手术切口的方向通常为|环形|垂直形|菱形|水平形|以乳头为中心呈放射状|E
乳房悬韧带|由乳腺表面的纤维束连于胸小肌构成|由乳腺表面的纤维束连于皮肤和乳头构成|由乳腺表面的纤维束连于胸大肌构成|由乳腺表面的纤维束连于肋构成|由乳腺表面的纤维束连于胸横肌构成|B
会阴浅隙|位于尿生殖隔上、下筋膜之间|前份有尿道膜部通过|内有阴茎脚、尿道球及尿道|完全封闭|向后上开放|C
尿道球部断裂,尿液可渗人|直肠后隙|经会阴浅隙渗入阴囊|会阴深隙|耻骨后隙|骨盆直肠隙|B
腹膜后空气造影时,空气首先注人|耻骨后隙|骨盆直肠隙|直肠后隙|会阴浅隙|坐骨肛门窝|C
肛提肌|构成坐骨肛门窝的外侧壁|构成坐骨肛门窝的底|位于盆隔上方|为尿生殖膈的主要成分|形成盆底的一部分|E
阴道|与子宫颈相延续|与子宫长轴形成向前开放的锐角|只穿过盆隔|前壁的中、下部与尿道相邻|小部分位于盆的上方|D
前列腺的毗邻|底位于尿生殖肠上面|尖邻接膀胱颈|后方邻盆|后上方有输精管壶腹和精囊|无上述情况|D
直肠|仅由肠系膜下动脉供血|在中、上部前面均有腹膜覆盖|全长约6cm|有一个弯曲|男性其前方与膀胱相邻|E
前列腺沟|借直肠膀胱隔与直肠壶腹相邻|肛门指检不能触及|位于前列腺前面的正中|其后面与耻骨前列腺韧带毗邻|向上与尿生殖膈邻接|A
肛直肠环的组成|肛门外括约肌浅部、深部、直肠纵行肌下部、肛门内括约肌、耻骨直肠肌|肛门外括约肌|肛门外括约肌、肛门内括约肌|肛提肌、肛门外括约肌皮下部和肛门内括约肌|肛门内括约肌和肛门外括约肌皮下部|A
肛管癌最可能转移至|骶前淋巴结|髂内淋巴结|腹股沟淋巴结|肠系膜下淋巴结|乙状结肠淋巴结|C
齿状线在临床上的实用意义是|齿状线上直肠有神经反射弧|齿状线上、下血液供应、神经及淋巴引流各异|齿状线上直肠易受感染|齿状线下肛管狭窄易受感染|齿状线下是肛门外括约肌所在部位|B
肛管齿状线以下的结构|肛柱|肛瓣|肛直肠线|肛梳|肛窦|D
肛管的括约肌功能主要靠哪种结构的作用|肛门内括约肌|肛门外括约肌深部|肛提肌|肛门外括约肌皮下部|肛直肠环|E
肛门外括约肌|分为浅、深两部|受内脏神经支配|浅部紧贴肛提肌|浅、深两部如被切断,可导致肛门失禁|为直肠下端环层肌增厚形成|D
Hilton线|距肛门上方约3.0cm|肛诊时触不到|下方有肛梳|为肛门内、外括约肌的交界处|无上述情况|D
坐骨肛门窝|左、右侧坐骨肛门窝互不相通|外侧壁为盆肠和肛门外括约肌|内侧壁为闭孔内肌及其筋膜|仅局限在肛三角范围内|内有肛血管和神经|E
骨盆出口大部分被|盆肠所封闭|尿生殖肠所封闭|臀大肌、臀中肌和臀小肌所封闭|盆筋膜所封闭|盆脏筋膜所封闭|A
骨盆骨折时最常见的尿道损伤部位是|尿道海绵体部|尿道球部|尿道前列腺部|尿道膜部|前尿道|D
女性,35岁,左下腹不适、隐痛2个月,B超发现左附件囊肿直径约3cm,境界清楚,诊断为左卵巢囊肿。关于卵巢的叙述,错误的是|位于卵巢窝内|属于腹膜内位器官|后缘有系膜连于子宫阔韧带|上端连卵巢悬韧带|下端连卵巢固有韧带|C
女性,30岁,突然出现下腹痛,伴恶心、呕吐、肛门下坠等不适。患者已婚5年,曾有3次人工流产术史,本次停经8周。体格检查,患者面色苍白,出冷汗,四肢发冷,阴道有少量出血,阴道后穹饱满,穿刺见血液。下腹有压痛,无反跳痛,腹肌强直不明显,诊断为输卵管妊娠破裂,关于输卵管的叙述,错误的是|子宫部是受精部位|输卵管峡短直而狭窄,壁厚、血管少|壶腹部粗且弯曲,血管丰富|输卵管腹腔口开口于腹膜腔|位于子宫阔韧带上缘|A
女性,32岁,急性病容,体温升高,心率加快,下腹部有压痛、反跳痛及肌紧张,甚至出现腹胀,可触及增粗的输卵管,压痛明显,诊断为急性输卵管炎。输卵管的分部不包括|输卵管子宫部|输卵管峡|输卵管壶腹|输卵管漏斗|输卵管伞|E
女性,45岁,下腹部有下坠感及月经量增多,查体发现患者下腹部扪及包块。B超及子宫镜检确诊为子宫黏膜下肌瘤,关于子宫位置的叙述,错误的是|子宫下端位于坐骨棘平面以下|位于盆腔中央|位于膀胱与直肠之间|两侧有输卵管和卵巢|呈前倾前屈位|A
女性,30岁,初次怀孕足月临产。产前B超检查显示为臀位。分娩过程中产妇述说疼痛加剧明显,分娩持续15小时后,从阴道口可见胎儿头顶。为避免会阴撕裂,医生决定注射麻醉剂麻醉会阴,实行阴道侧切术,以扩大产道下口。关于阴道的叙述,错误的是|上端包绕子宫颈阴道部|下端开口于阴道前庭|阴道穿过尿生殖隔|阴道后穹比前穹深|阴道后穹与膀胱子宫陷凹相邻|E
女性,40岁,糖尿病史,患者自述外阴瘙痒,白带呈豆腐渣样,妇科检查;外阴有抓痕,黏膜有白色膜状物,女性外生殖器不包括|阴道前庭|阴蒂|阴道|前庭球|阴阜|C
女性,46岁,左乳房有一质硬而无痛的肿块,该区皮肤增厚且表面呈橘皮样改变,左侧乳头位置明显高于右侧,腋窝触诊发现淋巴结肿大、质硬,诊断为乳腺癌。关于乳房的叙述,错误的是|有15~20个乳腺叶|每个乳腺叶均有两条输乳管|输乳管开口于乳头|乳房悬韧带对乳房起固定作用|乳腺癌时可呈现橘皮样改变|B
男性,43岁,有尿痛及血尿史,为确诊需进行胱检查,下述说法何者错误|插入膀胱镜时应提起阴茎以消除耻骨下弯|须依次通过尿道外口、膜部及内口3个狭窄|如误伤尿道膜部时,尿可能渗入会阴深隙|膀胱镜到达膀胱后可通过输尿管间装寻找两输尿管口|两输尿管口与尿道内口间的平滑区即膀胱三角|A
男性,40岁,右侧肛门发热且疼痛,排便和坐下时疼痛加重。患者用力排便时有内痔脱出,患者肛门右侧5点处有一凸起物(约2x3cm大小),压痛明显。诊断为内痔脱出合并坐骨肛门窝脓肿。关于坐骨肛门窝的描述错误的是|坐骨肛门窝位于肛管与坐骨结节之间|内侧壁为肛门括约肌和肛提肌及盆下筋膜|外侧壁是坐骨结节内侧面、闭孔内肌与闭孔筋膜|后壁是骶结节韧带和臀大肌下缘|坐骨肛门窝脂肪多、血供较好,毗邻直肠和肛管,是不易感染的部位|E
男性,55岁,左下腹隐痛,大便带血且经常不能排空3年。近期因腹痛加重,并向大腿后部放射,大腿后部肌无力而就诊。体格检查:肛门和直肠下部诊发现直肠后壁有一个肿瘤。诊断为直肠肿瘤转移,关于直肠描述错误的是|直肠位于盆腔的后部、骶骨的前方|在第三骶椎前方起自乙状结肠|男性腹膜返折以上隔直肠膀胱陷凹与膀胱底、精囊相邻|女性腹膜返折线以下隔直肠子宫陷凹与子宫、阴道穹后部相邻|直肠肿瘤(晚期癌)可压迫直肠后方的骶从|D
女性,35岁,感觉有物自阴道脱出半年,用力时症状加重,有时伴有腰部坠胀感,在家未进行治疗,诊断为轻度子宫脱垂。维持子官位置不向下脱垂的重要韧带是|子宫主韧带|子宫圆韧带|子宫阔韧带|子宫骶韧带|卵巢悬韧带|A
防止子宫脱垂的是|子宫主韧带|子宫阔韧带|子宫圆韧带|骶子宫韧带|骨盆漏斗韧带|A
维持子宫前倾的是|子宫主韧带|子宫阔韧带|子宫圆韧带|骶子宫韧带|骨盆漏斗韧带|C
限制子宫向两侧移位的是|子宫主韧带|子宫阔韧带|子宫圆韧带|骶子宫韧带|骨盆漏斗韧带|B
维持子宫前屈的是|子宫主韧带|子宫阔韧带|子宫圆韧带|骶子宫韧带|骨盆漏斗韧带|D
位于输卵管与子宫相接处的是|子宫角|子宫峡|子宫颈|子宫腔|子宫口|A
下端被阴道上端包绕的是|子宫角|子宫峡|子宫颈|子宫腔|子宫口|C
子宫颈管下口是|子宫角|子宫峡|子宫颈|子宫腔|子宫口|E
呈前后扁的三角形的是|子宫角|子宫峡|子宫颈|子宫腔|子宫口|D
输卵管结扎常用部位是|输卵管子宫部|输卵管峡|输卵管壶腹|输卵管漏斗|输卵管伞|B
受精部位是|输卵管子宫部|输卵管峡|输卵管壶腹|输卵管漏斗|输卵管伞|C
手术时辨认输卵管的标志是|输卵管子宫部|输卵管峡|输卵管壶腹|输卵管漏斗|输卵管伞|E
开口于腹膜腔的是|输卵管子宫部|输卵管峡|输卵管壶腹|输卵管漏斗|输卵管伞|D
肛直肠环|如被切断,可导致肛门失禁|为直肠下端环层肌增厚而成|分为皮下部、浅部和深部|参与构成盆|参与构成尿生殖|A
肛门内括约肌|如被切断,可导致肛门失禁|为直肠下端环层肌增厚而成|分为皮下部、浅部和深部|参与构成盆|参与构成尿生殖|B
肛门外括约肌|如被切断,可导致肛门失禁|为直肠下端环层肌增厚而成|分为皮下部、浅部和深部|参与构成盆|参与构成尿生殖|C
会阴浅隙|位于尿生殖隔上、下筋膜之间|向后开放|位于浅会阴筋膜与尿生殖隔下筋膜之间|位于肛管与坐骨之间|位于直肠与坐骨之间|C
会阴深隙|位于尿生殖隔上、下筋膜之间|向后开放|位于浅会阴筋膜与尿生殖隔下筋膜之间|位于肛管与坐骨之间|位于直肠与坐骨之间|A
坐骨肛门窝|位于尿生殖隔上、下筋膜之间|向后开放|位于浅会阴筋膜与尿生殖隔下筋膜之间|位于肛管与坐骨之间|位于直肠与坐骨之间|D

### 第十章 心血管系统（总论+心）
毛细血管是|连接动脉与淋巴管|血液与组织液交换的场所|遍布于全身所有的器官组织|分布密度与代谢无关|管壁薄、血流快|B
维持血液连续性流动的动力来自|心|大动脉|中动脉|小动脉|静脉|A
冠状窦开口于|右心室|右心房|左心房|上腔静脉|左心室|B
卵圆窝位于|右心房后壁|左心房后壁|房间隔右侧面上部|房间隔右侧面中下部|室间隔膜部|D
右心室流人道与流出道的分界标志|隔缘肉柱|室上嵴|三尖瓣隔侧尖|前乳头肌|三尖瓣前尖|B
心的正常起搏点|窦房结|房室结|房室束|左、右束支|浦肯野纤维|A
冠状动脉起自|冠状窦|升主动脉|主动脉弓|胸主动脉|主动脉前庭|B
冠状窦|引流心的全部静脉血|位于冠状沟全长|由心大静脉延续形成|心前静脉注入冠状窦右端|借冠状窦口开口于左心房|C
与后室间支伴行的静脉|心大静脉|心中静脉|心小静脉|心前静脉|心最小静脉|B
界分隔|心房与心室|左心房与右心房|右心室的流入道与流出道|主动脉前庭与左心室|腔静脉窦与固有心房|E
右心室|最靠前部的心腔|分为窦部和主动脉前庭|构成心右缘|有交错排列的梳状肌|较左心室壁厚|A
心尖|朝向右前下方|由右心室构成|平对左侧第5肋间隙|前室间支与后室间支吻合处|活体不易触摸到其搏动|C
节制索位于|右心房|右心室|左心房|左心室|房间隔|B
左心室|人口周缘有三尖瓣|左上部为动脉圆锥|流出道与肺动脉口相延续|前内侧部为主动脉前庭|内有隔缘肉柱|D
左心室流入道与流出道的分界标志|室上嵴|二尖瓣前尖|二尖瓣后尖|主动脉瓣前尖|主动脉瓣后尖|B
穿行于右纤维三角内|结间束|房室束|左束支|右束支|浦肯野纤维|B
窦房结位于|房间隔的心内膜深面|上腔静脉口的心内膜深面|上腔静脉与右心房交界处|右肺静脉入口处|下腔静脉入口处|C
后室间支|沿后室间沟下行至心尖|发出房室结动脉|分布于右心房|分布于左心室侧、后壁|分布于室间隔后1/3|E
阻塞后引起左心室侧壁梗死|前室间支|后室间支|左心室后支|旋支|动脉圆锥支|D
纤维性心包|分为脏层和壁层|与膈胸膜相贴|与血管外膜相延续|在大血管根部移行为心外膜|形成心包腔|C
右心房的内腔|右心耳壁较光滑|上腔静脉口有发达的瓣膜环|前部光滑、后部成网状|腔静脉窦与心耳以界嵴分隔|有心前静脉的直接开口处|E
构成心瓣膜的结构|心肌|心外膜|心内膜|浆膜|纤维膜|C
心舒张时,防止血液逆行流动的装置|主动脉瓣、三尖瓣|二尖瓣、三尖瓣|主动脉瓣、肺动脉瓣|肺动脉瓣、三尖瓣|主动脉瓣、二尖瓣|C
室间隔膜部分隔|左心室与右心室|右心室与左心房|右心室与左心室、左心房|左心房与左心室、右心房|左心室与右心室、右心房|E
心纤维性支架|由疏松结缔组织构成|仅由4个瓣膜环组成|心肌纤维和心瓣膜的附着处|左纤维三角又称为中心纤维体|内有左、右束支通过|C
前室间支|行于前室间沟内|与心中静脉伴行|仅分布于左心室和右心室|仅分布于室间隔前1/3|常发出分支分布于窦房结|A
注人冠状窦右端|心小静脉|心中静脉|心大静脉|心前静脉|心最小静脉|A
男性,45岁,胸部剧烈疼痛,到急诊室就诊。实验室检查显示心肌酶升高,提示心肌梗死;心电图显示心肌梗死为室间隔的一部分,包含房室束。被阻塞的冠状血管最有可能是|右冠状动脉的窦房结支|左冠状动脉旋支|左冠状动脉的前室间支|右冠状动脉的后室间支|右冠状动脉房室结动脉|C
新生儿因左、右心房分流而产生右心扩大。在房间隔的中下部发现了一个大的缺损。下列哪一个将是这种遗传缺陷的特征|动脉导管未闭|主动脉瓣狭窄|肺动脉闭锁|卵圆孔未闭|室间隔缺损|D
女性,37岁,心悸来医院就诊。需拍摄前后位胸片。胸片中组成心右缘的大部分结构是|左心房|左心室|右心室|右心房|心底|D
男性,19岁,胸部疼痛,来急诊室就诊,血管造影显示:伴随右冠状动脉后室间支的静脉出血。破裂的静脉最有可能是|心大静脉|心中静脉|心前静脉|心小静脉|左房斜静脉|B
男性,57岁,因严重胸痛入院。体查时,在左侧第五肋间隙、左锁骨中线内侧胸壁上有轻微的节律性搏动。引起搏动的心脏部位是|左心房|右心房|心尖|心底|右心室|C
男性,44岁,冠状动脉造影显示左冠状动脉的旋支闭塞。患者心肌梗死的部位最有可能在|左右心室|左右心房|室间隔|心尖部|左心房和左心室|E
男性,62岁,因心包积液到医院行心包穿刺术。针头插入心包腔的最佳位置是从剑突与|右侧第五肋间隙进行|右侧第六肋间隙进行|左侧第六肋间隙进行|左侧第七肋软骨交角处进行|右侧第七肋软骨交角处|D
病变后可导致房室束传导阻滞|左纤维三角|右纤维三角|瓣膜环|圆锥韧带|瓣膜间隙|B
左纤维三角的位置|左、右房室口之间|主动脉口与左房室口之间|主动脉口与右房室口之间|肺动脉口与左房室口之间|肺动脉口与右房室口之间|B
具有次级起搏作用|窦房结|结间束|房室结|房室束|左、右束支|C
分布于心内膜下,与收缩心肌相连|窦房结|房室结|房室束|左、右東支|Purkinje纤维网|E
冠状血管的血液量占心输出量|1%|3%|5%|7%|9%|C
直接注人右心房的静脉|心大静脉|心中静脉|心小静脉|心最小静脉|心前静脉|E
右冠状动脉主干走行于|冠状沟|前室间沟|后室间沟|界沟|房间沟|A
心中静脉走行于|冠状沟|前室间沟|后室间沟|界沟|房间沟|C
心大静脉走行于|冠状沟|前室间沟|后室间沟|界沟|房间沟|B
心房与心室的表面分界标志是|冠状沟|前室间沟|后室间沟|界沟|房间沟|A
固有心房与腔静脉窦的表面分界是|界沟|界嵴|房室交点|房间沟|心尖切迹|A
前、后室间沟的汇合处|界沟|界嵴|房室交点|房间沟|心尖切迹|E
后房间沟、后室间沟和冠状沟的汇合处|界沟|界嵴|房室交点|房间沟|心尖切迹|C
梳状肌的发出部位是|界沟|界嵴|房室交点|房间沟|心尖切迹|B
右心室流入道是|左心室窦部|右心室窦部|动脉圆锥|主动脉前庭|腔静脉窦|B
右心室流出道是|左心室窦部|右心室窦部|动脉圆锥|主动脉前庭|腔静脉窦|C
左心室流入道是|左心室窦部|右心室窦部|动脉圆锥|主动脉前庭|腔静脉窦|A
左心室流出道是|左心室窦部|右心室窦部|动脉圆锥|主动脉前庭|腔静脉窦|D
心传导系的右東支走行于|梳状肌|节制索(隔缘肉柱)|主动脉窦|卵圆窝|主动脉前庭|B
冠状动脉开口的部位是|梳状肌|节制索(隔缘肉柱)|主动脉窦|卵圆窝|主动脉前庭|C
右心室内具有的结构是|梳状肌|节制索(隔缘肉柱)|主动脉窦|卵圆窝|主动脉前庭|B
属于房间隔右侧面的结构是|梳状肌|节制索(隔缘肉柱)|主动脉窦|卵圆窝|主动脉前庭|D
引起左心室侧壁心肌梗死的动脉是|左冠状动脉旋支|左冠状动脉前室间支|右冠状动脉主干|右冠状动脉后室间支|右冠状动脉左心室后支|A
左心室前壁和室间隔前部心肌梗死由哪个动脉分支闭塞所致的是|左冠状动脉旋支|左冠状动脉前室间支|右冠状动脉主干|右冠状动脉后室间支|右冠状动脉左心室后支|B
房室结(动脉)支一般起自|左冠状动脉旋支|左冠状动脉前室间支|右冠状动脉主干|右冠状动脉后室间支|右冠状动脉左心室后支|C
供应室间隔后1/3部的动脉是|左冠状动脉旋支|左冠状动脉前室间支|右冠状动脉主干|右冠状动脉后室间支|右冠状动脉左心室后支|D

## 二、判断改错题（题目|正确/错误|改正内容）
### 第八章 女性生殖系统 乳房 会阴
卵巢位于盆腔左、右髂总动脉起始部的夹角处|错误|卵巢位于盆腔左、右髂内动脉与髂外动脉起始部的夹角处（卵巢窝）
卵巢是女性内生殖器中的附属腺体,能产生卵细胞和雌性激素|错误|卵巢是女性内生殖器中的生殖腺,能产生卵细胞和雌性激素
输卵管是一对弯曲的肌性管道,分为三部分|错误|输卵管是一对弯曲的肌性管道,分为子宫部、峡部、壶腹部、漏斗部四部分
分娩后子宫口呈横裂状,子宫口前、后缘分别称为前唇和后唇|正确|
子宫圆韧带起自子宫下外侧缘,止于盆腔侧壁|错误|子宫圆韧带起自子宫角的前下方,止于大阴唇前端
阴道前庭是两侧小阴唇之间的裂隙,其前部有阴道口,后部有尿道口|错误|阴道前庭是两侧小阴唇之间的裂隙,其前部有尿道口,后部有阴道口
子宫正常位置即子宫轴与阴道轴之间呈向前开放的90°角,子宫体与子宫颈之间的弯曲约150°角|错误|子宫正常位置即子宫轴与阴道轴之间呈向前开放的钝角,子宫体与子宫颈之间的弯曲约170°角
子宫峡部临产时形成子宫下段,剖宫产时常在此处进行剖腹取胎|正确|
卵巢固有韧带内含有卵巢血管、淋巴管、神经丛、结缔组织和平滑肌纤维,是寻找卵巢血管的标志|错误|卵巢悬韧带内含有卵巢血管、淋巴管、神经丛、结缔组织和平滑肌纤维,是寻找卵巢血管的标志
正常子宫颈的下端位于坐骨棘平面稍上方|正确|
乳房与胸大肌之间的疏松结缔组织区域,是隆乳术时填充物的植入部位|正确|
乳头和乳晕处的皮肤较薄,易受损伤而感染|正确|
会阴浅隙由浅会阴筋膜和尿生殖隔下筋膜围成,向前下方开放|错误|会阴浅隙由浅会阴筋膜和尿生殖膈下筋膜围成,向前开放
当尿道球部破裂时,尿液除外渗到会阴浅隙内,还扩散至阴囊和腹前壁浅筋膜深层的深面|正确|
齿状线以上受躯体神经支配;此线以下受内脏神经支配|错误|齿状线以上受内脏神经支配;此线以下受躯体神经支配
肛管齿状线以上血供主要来自直肠下动脉和直肠上动脉|错误|肛管齿状线以上血供主要来自直肠上动脉,齿状线以下血供主要来自直肠下动脉和肛动脉
肛管齿状线以下淋巴回流至髂内淋巴结|错误|肛管齿状线以下淋巴回流至腹股沟浅淋巴结

### 第十章 心血管系统（总论+心）
脉管系统既是运输管道,又具有内分泌功能|正确|
体循环和肺循环经左、右房室口相连通|错误|体循环和肺循环经左、右房室口和动脉口相连通，共同构成完整的血液循环
心传导系由神经组织构成|错误|心传导系由特殊分化的心肌细胞构成
