# 第四章抗体选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
重症SARS患者,弥漫性肺泡损伤,其肺组织内多种细胞因子表达异常,不包括|IL-6|IL-8|IL-12|IL-1α|IL-1Ra|E
肿瘤患者,CAR-T免疫治疗过程中出现发热,低血压,缺氧等症状,推测与血清中某些细胞因子水平显著升高有关,不包括|IFN-γ|Fractalkine|IL-5|IL-6|FasL|E
患者,男性,高烧半日就诊,查体:扁桃体II度肿大,可见白色附着物。该患者体内多种细胞因子参与炎症反应,促进对病原体的清除,其中由巨噬细胞分泌的细胞因子包括|IL-1、IL-6、TNF-α|IL-8、IL-10、IL-12|IL-1、IL-5、IFN-α|IL-12、IL-18、IFN-β|IL-2、IL-4、IL-6|A
患者,女性,临床诊断类风湿性关节炎,反复发作数年,近期加重,拟给予免疫治疗,下列可能有效的是|anti-IFN-γ抗体|anti-TNF-α抗体|anti-IL-12单抗|IL-6|IL-15|B
患者,女性,65岁,反复咳嗽,胸闷、气喘10余年,现突发加重,呼吸困难。考虑给予患者细胞因子治疗,可能有效的是|抗IL-12单抗|抗IL-2R单抗|抗IL-6R单抗|可溶性IL-1R|可溶性IL-6R|D
患儿,男性,临床诊断为先天性骨髓粒细胞缺乏症,这是一种罕见的常染色体显性遗传性疾病,发生基因突变的是|CXCR1|CXCR2|CXCR3|CXCR4|CXCR5|D
患者,男性,筛查发现其CCR5基因缺失,该患者不会发生感染的是|HAV|HBV|HCV|HIV|RSV|D
患者,女性,26岁,在其进行科学实验过程中不慎手腕部皮肤被酒精灯烧伤,烧伤面积约为8cm²,轻度烧伤,为促进患者烧伤部位尽快愈合,减少瘢痕形成,可使用下列哪种细胞因子药物|IL-2|IL-6|IL-15|IFN-γ|EGF|E
患者,男性,56岁,肾细胞癌,可考虑给予该患者治疗的药物是|可溶性IL-4R|抗IL-1β单抗|IL-2免疫毒素|IL-13免疫毒素|GM-CSF|D
患者,女性,46岁,一年前以"急性无黄疸型乙型病毒性肝炎"入院治疗后症状缓解,肝功能正常后出院。近期自觉不适,入院检查发现总胆红素53.3mol/L,直接胆红素42.5umol/L,ALT 830U, HBsAg(+)、HBeAg(+)、抗HBc IgM(+)、抗HCV(+)、抗HAVIgM(-)。患者入院治疗,可考虑给予药物|IL-6|IL-11|IFN-α|IFN-β|IFN-γ|C
促使B细胞发生Ig类别转换,合成IgA抗体的是|IL-1|IL-4|IL-23|IFN-γ|TGF-β|E
促使B细胞发生Ig类别转换,合成IgG1抗体的是|IL-1|IL-4|IL-23|IFN-γ|TGF-β|B
促进Th17细胞增殖的是|IL-1|IL-4|IL-23|IFN-γ|TGF-β|C
促进T细胞向Th1细胞分化的是|IL-1|IL-4|IL-23|IFN-γ|TGF-β|D
促进T细胞向Th2细胞分化的是|IL-1|IL-4|IL-23|IFN-γ|TGF-β|B
激活血管内皮细胞,促进免疫系统的效应细胞进入感染部位的是|IL-1|IL-6|IL-8|IL-12|TNF-α|A
增加血管的通透性,促进IgG、补体和效应细胞进入感染部位的是|IL-1|IL-6|IL-8|IL-12|TNF-α|E
激活淋巴细胞,促进抗体的生成的是|IL-1|IL-6|IL-8|IL-12|TNF-α|B
激活NK细胞,诱导CD4T细胞分化成Th1细胞的是|IL-1|IL-6|IL-8|IL-12|TNF-α|D
对单核细胞、T淋巴细胞和DC有趋化和激活作用的趋化因子命名为|CCL2|CXCL8|CXCL12|CX3CL1|XCL1|A
对单核细胞和T淋巴细胞有趋化作用的Fractalkine命名为|CCL2|CXCL8|CXCL12|CX3CL1|XCL1|D
对T淋巴细胞、NK细胞和DC有趋化作用的淋巴细胞趋化蛋白命名为|CCL2|CXCL8|CXCL12|CX3CL1|XCL1|E
趋化中性粒细胞和T淋巴细胞进入感染部位的是|CCL2|CXCL8|CXCL12|CX3CL1|XCL1|B
治疗恶性肿瘤、免疫缺陷、用于疫苗佐剂的细胞因子是|IL-11|IFN-α|IL-2|EPO|EGF|C
治疗白血病、Kaposi肉瘤、肝炎、恶性肿瘤、AIDS的细胞因子是|IL-11|IFN-α|IL-2|EPO|EGF|B
治疗放、化疗所致血小板减少症的细胞因子是|IL-11|IFN-α|IL-2|EPO|EGF|A
治疗慢性肾衰导致的贫血、癌症或癌症化疗导致的贫血、失血后贫血的细胞因子是|IL-11|IFN-α|IL-2|EPO|EGF|D
治疗烧伤、口腔溃疡的细胞因子是|IL-11|IFN-α|IL-2|EPO|EGF|E
能刺激急性、慢性髓样白血病细胞、浆细胞和卵巢癌细胞生长的细胞因子是|TNF-α|IFN-γ|IL-6|IL-10|IL-1|E
心脏黏液瘤、浆细胞瘤、子宫颈癌及膀胱癌细胞异常高分泌的细胞因子是|TNF-α|IFN-γ|IL-6|IL-10|IL-1|C
有助于肿瘤免疫逃逸的细胞因子是|TNF-α|IFN-γ|IL-6|IL-10|IL-1|D
能诱导肿瘤细胞表达MHCI类分子,增强机体对肿瘤细胞免疫应答的细胞因子是|TNF-α|IFN-γ|IL-6|IL-10|IL-1|B
预防肾脏移植排斥反应的药物是|抗IL-2R单抗(Daclizumab, Basiliximab)|IL-1R拮抗剂|抗IL-8单抗(ABX-IL8)|抗TNFα单抗(infliximab)|抗HER2(EGFR2)单抗|A
治疗银屑病的药物是|抗IL-2R单抗(Daclizumab, Basiliximab)|IL-1R拮抗剂|抗IL-8单抗(ABX-IL8)|抗TNFα单抗(infliximab)|抗HER2(EGFR2)单抗|C
治疗局限性肠炎(Crohn's disease)的药物是|抗IL-2R单抗(Daclizumab, Basiliximab)|IL-1R拮抗剂|抗IL-8单抗(ABX-IL8)|抗TNFα单抗(infliximab)|抗HER2(EGFR2)单抗|D
治疗乳腺癌转移的药物是|抗IL-2R单抗(Daclizumab, Basiliximab)|IL-1R拮抗剂|抗IL-8单抗(ABX-IL8)|抗TNFα单抗(infliximab)|抗HER2(EGFR2)单抗|E

# 第七章白细胞分化抗原和黏附分子选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
白细胞分化抗原分布于|白细胞|红细胞|血小板|吞噬细胞|血细胞与非造血细胞|E
结合抗原肽并将其提呈给T细胞的表面功能分子是|T细胞受体|B细胞受体|共刺激分子|MHC分子|细胞因子受体|D
LFA-1的配体是|LFA-2|VLA-1|FN|LFA-3|ICAM-1|E
HIV的主要受体是|CD3|CD4|CD8|CD28|CD40|B
模式识别受体主要分布于|T细胞|B细胞|NK细胞|吞噬细胞和树突状细胞|血小板|D
白细胞分化抗原是指|白细胞分化过程中出现的各种膜分子|T细胞分化过程中出现的各种膜分子|B细胞分化过程中出现的各种膜分子|淋巴细胞分化过程中出现的各种膜分子|血细胞在分化成熟为不同谱系、分化的不同阶段及活化过程中出现或消失的细胞表面标记分子|E
在TCR识别抗原的信号转导过程中起作用关键的CD分子是|CD2|CD3|CD4|CD8|CD28|B
CD4分子主要表达在哪种细胞上|辅助性T细胞(Th)|细胞毒T细胞(CTL或Tc)|NK细胞|B细胞|中性粒细胞|A
CD2分子又称|LFA-1|LFA-2|LFA-3|ICAM-1|ICAM-2|B
CD8分子主要表达在哪种细胞上|单核细胞|巨噬细胞(Mφ)|Th细胞|Tc细胞|B细胞|D
CD28分子和CTLA-4的共同配体是|LFA-1|LFA-2|B7-1(CD80)、B7-2(CD86)|Igα/Igβ|ICAM-1|C
与配体结合后,对T细胞活化有负调节作用的CD分子是|CD2|CD4|CD8|CD152|CD28|D
CD28分子主要表达在哪种细胞上|T细胞|单核细胞|NK细胞|Mφ|肥大细胞|A
关于CD8分子的叙述,下列哪项是正确的|属于IgSF黏附分子能与MHCI类分子结合|主要分布在Th细胞上|能传递TCR识别抗原的信号|其配体是CD58(LFA-3)|分布于所有的T细胞上|A
在BCR识别抗原的信号转导过程中,起关键作用的CD分子是|CD16|CD32|CD64|CD80/CD86|CD79a/CD79b|E
下列哪类膜分子属于CD分子|TCR|BCR|FcγR|mIg|MHC分子|C
B细胞具有的CD分子是|CD2|CD3|CD4|CD8|CD19|E
Th细胞识别抗原的辅助受体是|CD2|CD3|CD4|CD5|CD8|C
B细胞不表达以下哪种CD分子|CD19|CD154(CD40L)|CD79a/CD79b|CD80/CD86|CD40|B
下列哪组细胞表达CD64分子|单核细胞、Mφ、树突状细胞(DC)|T细胞、B细胞|粒细胞、B细胞、血小板|NK细胞、Mφ、肥大细胞|肥大细胞、嗜碱性粒细胞|A
以下所列IgFc受体及相应CD编号,哪组是错误的|FcγR I/CD64|FcγR II/CD32|FcγR III/CD16|FcεR I/CD23|FcαR/CD89|D
介导NK细胞发挥ADCC的分子是|CD16|CD3|CD64|CD23|CD89|A
IgE结合因子(IgE-BF)即|CD16|sCD23|CD32|CD64|CD21|B
下列哪种免疫分子具有黏附作用|CD3|mIg|CKR|Igα/Igβ|CD28|E
CD分子与下列哪项作用无关|免疫应答|T、B细胞的活化|补体攻膜复合体的形成|AIDS的发生|EB病毒对B细胞的感染|C
以下哪种黏附分子属于整合素家族|LFA-1|LFA-2|LFA-3|ICAM-1|ICAM-2|A
主要介导血小板黏附的整合素分子是|LFA-1|VLA-1|VLA-3|Mac-1|gpⅡb/Ⅲa|E
选择素家族的CD编号是|CD29|CD49|CD18|CD61|CD62|E
白细胞黏附受体组属于整合素家族的|β1组|β2组|β3组|β4组|β5组|B
L选择素主要分布于|白细胞|血小板|活化内皮细胞|红细胞|巨噬细胞|A
以下哪种黏附分子不属于IgSF的成员|ICAM-1|LFA-1|LFA-2|CD4|MHCI类分子|B
IgSF成员的共同特点是|识别的配体相同|具有相似的功能|具有与Ig相似的结构特征|分布范围相似|由同一染色体编码产生|C
以下所列IgSF成员的配受体关系,正确的是|LFA-2/LFA-3|CD4/MHCI类分子|CD8/MHCII类分子|ICAM-1/ICAM-2|VCAM-1/VCAM-2|A
选择素分子与配体结合的部位是|C型凝集素(CL)结构域|表皮生长因子(ECG)样结构域|补体调控蛋白(CCP)结构域|跨膜区|胞浆区|A
选择素分子识别的配体主要是|CD21|CD31|钙粘蛋白|CD15s(sLex)|CD44|D
介导血流中的中性粒细胞与血管内皮细胞初始黏附的是|整合素家族|IgSF|选择素家族|钙粘蛋白(Cadherin)家族|I型细胞因子受体家族|C
E-选择素主要表达在哪种细胞上|中性粒细胞|红细胞|单核细胞|淋巴细胞|活化内皮细胞|E
Cadherin家族的主要作用是|介导同型细胞间的黏附|介导细胞与ECM的黏附|介导炎症细胞渗出过程|介导免疫细胞的相互识别|介导血小板的黏附与聚集|A
既作为淋巴细胞归巢受体,又与肿瘤转移有关的是|CD2|CD3|CD16|CD32|CD34|E
在T细胞的活化中,最重要的协同刺激分子是|CD4/MHCII类分子|CD8/MHCI类分子|CD28/CD80或CD86|CD2/CD58|LFA-1/ICAM-1|C
参与淋巴细胞归巢的黏附分子不包括|L-selection|CD28|CLA|VLA-4|CD34|B
下列哪项不是黏附分子的作用|参与淋巴细胞归巢|参与免疫应答|参与炎症的形成|参与补体系统的激活|参与血栓的形成|D
白细胞黏附受体组主要分布于|T细胞|B细胞|白细胞|巨核细胞|内皮细胞|C
淋巴细胞归巢受体的配体是|血管活性肽|细胞因子受体|血管地址素|L-选择素|P-选择素|C
下列哪种分子的基因缺陷会导致白细胞黏附缺陷症|β1整合素|β2整合素|P-选择素|L-选择素|E-选择素|B
关于整合素分子的结构和功能,下列哪项是错误的|属于IgSF|由一条α链和一条β链组成|以β链不同而分组|参与黏附功能|可结合细胞外基质|A
选择素分子胞膜外C型凝集素样结构域结合的组分是|碳水化合物|脂类|核酸|多肽|LPS|A
某患者确诊为来源于B细胞的非霍奇金淋巴瘤(non-Hodgkin lymphoma,NHL),欲行靶向治疗,则最有价值的治疗药物是|抗CD20单克隆抗体|抗CD3单克隆抗体|抗CD4单克隆抗体|抗CD25单克隆抗体|抗CD18单克隆抗体|A
某患儿有反复软组织感染、皮肤和黏膜慢性溃疡,伴外周血中性粒细胞增多,考虑白细胞黏附缺陷症,则流式细胞仪测定中性粒细胞上哪种膜分子阳性率可辅助诊断本病|CD20|CD18|CD4|CD3|CD8|B
某患者因尿毒症欲行肾移植手术治疗,为预防移植术后早期排斥反应,可使用|抗CD20单克隆抗体|抗CD4单克隆抗体|抗CD3单克隆抗体|抗CD8单克隆抗体|抗CD18单克隆抗体|C
某位感染了HIV病毒的无症状艾滋病患者,为评估疾病进展、判断预后,应至少每6个月进行一次|CD20⁺T淋巴细胞计数检测|CD8⁺T淋巴细胞计数检测|CD4⁺T淋巴细胞计数检测|CD3⁺T淋巴细胞计数检测|CD18⁺T淋巴细胞计数检测|C
患者,男性,25岁,近2个月出现反复发作的腰痛,腰骶部僵硬感,间歇性腰部及臀部疼痛,或腰部及臀部两侧交替疼痛,可放射至大腿,无阳性体征,直腿抬高试验阴性,但直接按压或伸展骶髂关节可引起疼痛。X线表现为髂关节炎,脊柱小关节及椎体骨小梁模糊(脱钙),椎体呈"方形椎",拟诊断为强直性脊柱炎。则以下哪项阳性可协助诊断|CD18|CD20|HLA-DRB1|HLA-B27|HLA-A|D
患者,女性,25岁,近2个月出现反复发作的口腔溃疡、生殖器溃疡,拟诊为贝赫切特综合征,则以下哪项阳性可协助诊断|HLA-B51|HLA-B27|HLA-A|CD20|CD4|A
患者,女性,36岁。右侧颈部淋巴结肿大1月余,左侧颈部淋巴结亦肿大伴发热1周。既往体健。查体:T38.1°C,双侧颈部可触及数个肿大淋巴结。左侧颈部淋巴结活检,见淋巴结结构完全破坏,弥漫性大B细胞浸润,拟诊断为弥漫性大B细胞淋巴瘤。则免疫组化可能为|CD20⁺CD30⁻CD5⁻|CD10⁺BCL-6⁺BCL-2⁻|CD20⁺CD5⁺|CD20⁺CD30⁺CD15⁺|CD20⁻CD30⁻CD5⁺|A
某HIV患者近半年症状日渐增多,皮肤、黏膜出现多处白色念珠菌感染,出现单纯疱疹、带状疱疹、紫斑、血疱、淤血斑等,出现原因不明的持续性发热,诊断为艾滋病恶化加重,则下列哪种细胞数量锐减|CD8⁺T细胞|CD4⁺T细胞|CD20⁺B细胞|CD5⁺B细胞|CD3⁺T细胞|B
患者,男性,55岁。乏力、腰痛半个月,既往体健。经检查确诊为多发性骨髓瘤,则该患者骨髓瘤细胞免疫表型可能为|CD38⁺CD56⁺|CD38⁺CD56⁻|CD38⁻CD56⁺|CD38⁻CD56⁻|CD20⁺CD38⁺|A
患者,男性,28岁。霍奇金淋巴瘤患者,治疗给予利妥昔单抗治疗,效果明显,疾病控制良好。该患者使用利妥昔单抗治疗的原因是|CD3阳性|CD20阳性|CD4阳性|CD8阳性|CD19阳性|B
某患者疑似T细胞白血病,鉴别诊断时可用于区别B细胞白血病的白细胞分化抗原为|CD3阳性|CD20阳性|CD14阳性|CD56阳性|CD19阳性|A
某患者被诊断为急性早幼粒细胞白血病,该患者除CD13和CD33阳性外,还可能表达以下哪种表面分子|HLA-DR|CD20|CD9|CD19|CD10|C
患儿,女性,2月龄。出生时脐带出血,后出现皮肤淤斑、鼻出血。经检查确诊为血小板无力症。该患者缺乏一种整合素是|β1整合素|β2整合素|β3整合素|β4整合素|β5整合素|C
患儿,男性,14岁,因左脚掌1周前外伤,持续肿痛而入院治疗。患儿自3岁起,出现全身多处软组织反复感染、慢性牙周炎等病症,且外周血细胞明显增多。实验室检查:患儿的外周血白细胞表面分子CD18小于1%(正常人应为100%),确诊为白细胞黏附分子缺陷病I型(LAD)。对于该患儿,体内哪种整合素缺乏最严重|β1整合素|β2整合素|β3整合素|β4整合素|β5整合素|B
患者,女性,18岁,反复发作性喘息2年,诊断为支气管哮喘,应用糖皮质激素治疗1年余,疗效反应良好。鉴于此,该患者体内哪种T细胞数量增多最明显|CD4⁺CD25⁺Treg|CD4⁺T细胞|CD20⁺B细胞|CD5⁺B细胞|CD8⁺T细胞|A
患者,女性,70岁,近10年来反复出现四肢多关节疼痛,以双膝、双肘及左踝关节明显,自诉曾予抗"类风湿"治疗,症状有所好转。请问下列哪种治疗措施,最可能延缓其病情进展|抗CD3单克隆抗体|抗CD4单克隆抗体|抗CD25单克隆抗体|抗CD33单克隆抗体|抗CD8单克隆抗体|B
患者,男性,35岁,发热、全身酸痛半月,加重伴出血倾向一周。于医院就诊明确诊断后,予抗CD33单克隆抗体治疗,病情明显好转。该患者诊断最可能是哪个|急性髓系白血病|B细胞淋巴瘤|T细胞恶性肿瘤|类风湿关节炎|系统性红斑狼疮|A
参与血小板活化与凝集|VLA|LFA-1|gpⅡbⅢa|CR1|CD62E|C
参与淋巴细胞再循环|VLA|LFA-1|gpⅡbⅢa|CR1|CD62E|B
参与淋巴细胞黏附|VLA|LFA-1|gpⅡbⅢa|CR1|CD62E|A
与中性粒细胞沿血管壁滚动有关|L-选择素|P-选择素|E-选择素|β1整合素|β3整合素|C
与淋巴细胞归巢有关|L-选择素|P-选择素|E-选择素|β1整合素|β3整合素|A
与血小板活化和凝集有关|L-选择素|P-选择素|E-选择素|β1整合素|β3整合素|E
# 第八章主要组织相容性复合体选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
人类MHC基因定位于|第2号染色体|第6号染色体|第9号染色体|第17号染色体|第22号染色体|B
HLA复合体基因不编码|HLAI类分子的重链(α链)|HLAI类分子的轻链(β₂m)|HLAII类分子的α链|HLAII类分子的β链|B因子|B
能引起强而迅速的,针对同种异体移植物排斥反应的抗原是|组织相容性抗原|移植抗原|白细胞分化抗原|主要组织相容性抗原|主要组织相容性复合体|D
HLAII类基因区不包括|C4基因位点|B因子基因位点|HSP基因位点|TNF基因位点|β₂m基因位点|E
HLAII类基因包括|HLA-A座位|HLA-A、B、C座位|HLA-DR、DQ、DP三个亚区|HLA-DR亚区|HLA-DQ亚区|C
下列关于MHCI类分子的叙述正确的是|其肽链均为MHC编码|可与辅助受体CD4结合|由两条相同的重链和两条相同的轻链组成|参与内源性抗原的提呈|仅表达在抗原提呈细胞表面|D
下列关于HLAII类分子的叙述正确的是|是HLA-DR、DQ、DP亚区相应功能基因编码的分子|是由α链和β₂m组成的异二聚体糖蛋白|主要表达在B细胞和静息T细胞表面|主要参与内源性抗原的处理和呈递|接纳的抗原肽通常由8~10个氨基酸残基组成|A
HLA分子所不具备的功能是|诱导移植排斥反应|参与调理吞噬|参与抗原提呈|参与胸腺T淋巴细胞分化发育|参与自身免疫耐受的形成|B
HLAII类分子与抗原肽结合的部位是|α1和β1结构域|α1和α2结构域|β1和β2结构域|α1和β₂m结构域|α2和β₂m结构域|A
有关抗原肽与MHC分子相互作用的特点下列说法正确的是|MHC分子与抗原肽的结合没有选择性|MHC分子与抗原肽的结合具有高度特异性|MHC分子与抗原肽的结合至少需要3个锚定位|MHC分子与抗原肽的结合与抗原肽的长度无关|MHC分子与抗原肽的结合具有包容性|E
不表达HLAI类抗原的细胞是|淋巴细胞|成熟红细胞|血小板|网织红细胞|肝细胞|B
HLA分子多态性的主要原因是|连锁不平衡|HLA基因是复等位基因|HLA分子可以裂解|HLA基因高度易变|HLA基因发生有效重组机会较多|B
可被HLAII类分子抗原结合槽容纳的抗原肽长度一般为|5~15个氨基酸残基|8~10个氨基酸残基|10~13个氨基酸残基|13~17个氨基酸残基|25~37个氨基酸残基|D
组成性表达HLAII类分子的细胞是|T淋巴细胞|血管内皮细胞|专职抗原提呈细胞|肝细胞|上皮细胞|C
对人类而言,HLA抗原属于|异种抗原|改变的自身抗原|同种异型抗原|隐蔽抗原|异嗜性抗原|C
下列关于HLAII类分子的说法正确的是|由α链和β₂m链组成|呈递外源性抗原|分布在所有有核细胞的表面|由HLA-A、HLA-B、HLA-C等基因编码|可与CD8分子结合|B
HLAI类抗原的重要功能是|向Th细胞提呈外源性抗原肽|向Tc细胞提呈外源性抗原肽|向Th细胞提呈外源性抗原肽|向Tc细胞提呈内源性抗原肽|向γδT细胞提呈外源性抗原肽|D
下列关于抗原肽与MHC分子相互作用的描述错误的是|不同的MHC分子有可能提呈同一抗原分子上的不同表位|一种类型的MHC分子可以识别一群带有特定共用基序的肽段|能够被某一HLA分子识别和提呈的抗原肽,也可被该家族其他分子提呈|不同MHC分子结合的抗原肽可有相同的共用基序|MHC分子与抗原肽的结合是高度特异性的|E
MHC限制性表现在|巨噬细胞对病原体的吞噬作用|ADCC作用|CTL细胞对靶细胞的识别和杀伤作用|B细胞对TI抗原的识别过程|补体依赖的细胞毒作用|C
与强直性脊柱炎密切相关的HLA分子是|HLA-A5分子|HLA-B8分子|HLA-B7分子|HLA-B27分子|HLA-DR3分子|D
可与CTL细胞表面CD8分子结合的是|MHCI类分子的β₂m|MHCII类分子的β1功能区|MHCI类分子的α1功能区|MHCII类分子的α2功能区|MHCI类分子的α3功能区|E
可介导内源性抗原肽转运至内质网的分子是|PSMB分子|TAP异二聚体分子|HLA-DM分子|HLAII类分子|HLAI类分子|B
根据HLA单体型遗传特征,同胞兄弟姐妹之间有一个单体型相同的概率为|10%|25%|50%|75%|100%|C
下列叙述错误的是|细胞癌变时通常HLAI类抗原的表达将增加|多次输血病人发生的非溶血性输血反应与其体内抗HLA抗体有关|HLA-B27抗原与强直性脊柱炎正相关|1型糖尿病患者胰岛β细胞可表达HLAII类抗原|同种异体间器官移植的成功与否与供者与受者之间HLA型别的相配程度密切相关|A
免疫功能相关基因中与炎症和应激反应密切相关的基因是|Bf基因|TAP基因|PSMB基因|HSP70基因|HLA-DM基因|D
HLA单体型是指|同一条染色体上HLA等位基因的组合|在两条染色体上HLA等位基因的组合|个体所有HLA表型的组合|个体所有HLA表型的一半|某一个体HLA分子的型别|A
与外源性抗原加工提呈相关的MHC基因是|PSMB基因|HLA-E基因|MIC A/B基因|HLA-DM基因|TAP基因|D
与内源性抗原加工提呈相关的MHC基因是|HLA-E基因|HSP基因|HLA-DM基因|MIC A/B基因|PSMB基因和TAP基因|E
下列对MHCII类分子的描述错误的是|主要存在于专职抗原提呈细胞表面|主要提呈外源性抗原肽|两条多肽链均为MHC编码|由α和β两条肽链借非共价键连接组成|能与辅助受体CD8分子结合|E
在母胎免疫耐受中发挥重要作用的分子是|HLA-A和HLA-F分子|HLA-B和HLA-C分子|HLA-E和HLA-C分子|HLA-E和HLA-G分子|HLA-DP和HLA-DQ分子|D
进行器官移植时优先考虑的候选供者是|患者的父母|患者的妻子|患者的子女|患者的表兄弟姐妹|患者的同胞兄弟姐妹|E
不表达MHCII类分子的细胞是|静息T细胞|活化T细胞|静息B细胞|活化巨噬细胞|静息DC细胞|A
HLAI类分子与抗原肽结合的部位是|α1和β1结构域|α1和α2结构域|β₂m与α3结构域|α2和β2结构域|α2和α3结构域|B
决定HLAI类分子多态性的主要区域是|β₂m区|跨膜区|胞浆区|肽结合区|恒定区|D
NK细胞表面CD94/NKG2A分子所识别的配体分子是|HLA-A分子|HLA-B分子|HLA-C分子|HLA-E分子|HLA-G分子|D
NK细胞表面NKG2D分子所识别的配体分子是|HLA-E分子|MIC A/B分子|HLA-G分子|DAP12分子|HLA-F分子|B
亲代与子代间必然有一个HLA单体型相同的原因是|性连锁遗传|连锁不平衡|高度多态性现象|单体型遗传方式|等位基因同源染色体之间的交换|D
相对危险性(RR)的含义是|表示携带某种HLA抗原的个体与无此种抗原的个体患某种疾病危险性的比较|表示人群中某种疾病的发病率|表示用于确定某种疾病的病因|表示某种疾病的预后|表示某种疾病的严重程度|A
细胞之间相互作用不受MHC限制的是|CTL对肿瘤细胞的杀伤作用|NK细胞对肿瘤细胞的杀伤作用|APC对Th细胞的激活作用|CTL对病毒感染细胞的杀伤作用|Th细胞对B细胞的辅助作用|B
既表达MHCI类分子,又表达MHCII类分子的细胞是|红细胞|嗜碱性粒细胞|B细胞|中性粒细胞|肥大细胞|C
对HLA-DO基因错误的描述是|该基因是MHC中的免疫功能相关基因|该基因是MHC中与抗原加工提呈相关的基因|该基因是非经典MHCI类基因|该基因包括DOA和DOB两个座位|其产物(DO分子)可调节HLA-DM分子的功能|C
HLA复合体中的炎症相关基因不包括|TNF基因|I-κB基因|MICA/B基因|HSP70基因|NKG2D基因|E
可提呈外源性抗原的细胞是|CD4⁺T细胞|CD8⁺T细胞|表达MHCI类分子的细胞|表达MHCII类分子的细胞|表达MHCII类分子的细胞|D
不表达MHCII类分子的细胞是|巨噬细胞|NK细胞|活化的Th细胞|树突状细胞|B淋巴细胞|B
亲子鉴定最常采用的方法是|声音识别|指纹检测|HLA型别检测|Ig血清型检测|面部识别|C
HLA分子不具有的结构是|肽结合区|跨膜区|铰链区|胞浆区|免疫球蛋白样区|C
HLA-B27(+)个体易患下列哪些疾病|类风湿性关节炎|强直性脊柱炎|寻常天疱疮|急性葡萄膜炎|系统性红斑狼疮|B
HLA的遗传方式在器官移植供者的选择、法医的亲子鉴定中广泛应用,其机制是|HLA单体型均来自父方|同胞之间两个单体型完全相同或完全不同的概率各占25%|孪生兄弟的HLA两个单体型完全相同|亲代与子代之间必然有一个单体型相同|同胞之间一个单体型相同或不相同概率各为50%|D
某患者需要进行肾移植,根据移植物来源,哪种肾存活率最高|异种肾|同种肾|同卵双生同胞供体肾|亲属供体肾|父母肾|C
某患者的临床诊断为系统性红斑狼疮,与其疾病相关联的HLA分子是|HLA-B27|HLA-DR2|HLA-DR3|HLA-DR4|HLA-DR5|C
下列与类风湿性关节炎和寻常天疱疮密切相关的是|HLA-B27|HLA-DR2|HLA-DR3|HLA-DR4|HLA-DR5|D
HLA分子异常表达与临床疾病有密切关系,某肿瘤患者,在其肿瘤细胞表面|HLAI类分子显著减少|HLAI类分子显著增加|HLAII类分子显著增加|HLAII类分子显著增加|HLAI和II类分子表达均降低|A
多次接受同一血液供体输血的病人发生的非溶血性输血反应与哪种抗体有关|ABO血型抗体|抗Ig抗体|Rh血型抗体|抗白细胞和血小板HLA抗体|抗核抗体|D
下列哪种疾病与HLA分子无关|强直性脊柱炎|多发性硬化症|类风湿性关节炎|血友病|1型糖尿病|D
乳糜泻病人与下列哪种HLA抗原呈关联|HLA-B17|HLA-B8|HLA-DR2|HLA-DR3|HLA-B35|D
应用肽疫苗或T细胞疫苗进行免疫预防和免疫治疗的理论依据是|不同HLA分子可选择性地结合具有不同锚定位的锚定残基|同一HLA可结合多种抗原肽|一种HLA等位基因产物只能识别一种抗原肽|HLA同一家族的不同成员可识别和结合相同的锚定残基|HLA同一家族的不同成员可识别和结合不同的锚定残基|D
将健康人的组织或器官来替代患者丧失功能的组织和器官,常常会发生排斥反应,此时HLA分子被认为是|同种异型抗原|异嗜性抗原|异种抗原|自身抗原|改变的自身抗原|A
器官移植的成败主要取决于供、受者间的组织相容性,引起移植排斥反应的移植抗原主要是|CD分子|CK|HLA分子|Ig分子|H-2|C
HLA检测应用于法医的个体识别是由于|HLA检测简便、快捷|HLA检测所需材料来源广泛,消耗少|HLA检测不需要复杂昂贵的仪器|HLA复合体具有高度多态性,能反映个体的特异性|HLA复合体很少发生变异|D
人群中HLA-A1基因出现频率是0.158,HLA-B3为0.092,如不考虑连锁不平衡,则A1B3单倍型的期望频率应该是|0.072|0.057|0.030|0.015|0.003|D
HLA与疾病的关联是指|HLA复合体的突变导致某些疾病的发生|HLA复合体与某些疾病的产生之间是非随机分布|HLA基因在某些疾病中呈非随机分布|HLA复合体与某些疾病呈随机分布|HLA复合体与致病基因或易感基因发生连锁|C
无血缘关系的同种器官移植发生移植排斥反应,主要原因是|移植供血不足|MHC的高度多态性|移植物被细菌污染|受者免疫功能紊乱|受者体内有自身反应性T淋巴细胞|B
在临床检验和科学研究中,对人群或患者HLA的检测不能用于|器官移植|研究人类学|同种异体输血|研究HLA与人类疾病的关系|传染病预防和疫苗制备|E
HLAII类分子表达异常,可表现为|自身免疫病|免疫缺陷病|肿瘤|感染|血液病|A
