以下为**纯单行分隔符格式**的所有单选题（原文档无判断题和多选题），采用**【题目||选项A||选项B||选项C||选项D||选项E||正确答案】** 标准格式，无任何多余格式和换行，可直接复制粘贴导入绝大多数游戏题库系统。所有B1型共用备选答案题已转换为独立题目，每个题目自带完整选项。
能产生血浆凝固酶的是||金黄色葡萄球菌||A群链球菌||肺炎链球菌||脑膜炎奈瑟菌||肠球菌||A
在黏膜表面黏附时，可产生分解SIgA蛋白酶的细菌是||金黄色葡萄球菌||A群链球菌||肺炎链球菌||脑膜炎奈瑟菌||肠球菌||D
引发猩红热的病原体是||金黄色葡萄球菌||A群链球菌||肺炎链球菌||脑膜炎奈瑟菌||肠球菌||B
具有典型荚膜结构的细菌是||金黄色葡萄球菌||A群链球菌||肺炎链球菌||脑膜炎奈瑟菌||肠球菌||C
属于革兰阴性菌的是||金黄色葡萄球菌||A群链球菌||肺炎链球菌||脑膜炎奈瑟菌||肠球菌||D
能导致烫伤样皮肤综合征是||金黄色葡萄球菌||A群链球菌||肺炎链球菌||脑膜炎奈瑟菌||肠球菌||A
葡萄球菌共同的生物学性状是||细菌细胞壁中含有大量类脂||菌体的一端附着单端单根鞭毛||细菌合成产物中有凝固酶||革兰染色时不被95%乙醇脱色||细菌细胞壁中含有SPA等物质||D
金黄色葡萄球菌的结构特点是||细菌细胞壁中含有大量类脂||菌体的一端附着单端单根鞭毛||细菌合成产物中有凝固酶||革兰染色时不被95%乙醇脱色||细菌细胞壁中含有SPA等物质||E
金黄色葡萄球菌与表皮葡萄球菌的鉴别要点是||细菌细胞壁中含有大量类脂||菌体的一端附着单端单根鞭毛||细菌合成产物中有凝固酶||革兰染色时不被95%乙醇脱色||细菌细胞壁中含有SPA等物质||C
链球菌属细菌共同的生物学性状是||产生IgA1蛋白酶，破坏黏膜表面IgA||一般不发酵菊糖，不被胆汁溶解||能产生自溶酶，并可被胆汁激活||血平板上形成完全透明的溶血环||血平板上形成半透明不完全溶血环||B
乙型溶血性链球菌不同于其他链球菌的特点是||产生IgA1蛋白酶，破坏黏膜表面IgA||一般不发酵菊糖，不被胆汁溶解||能产生自溶酶，并可被胆汁激活||血平板上形成完全透明的溶血环||血平板上形成半透明不完全溶血环||D
甲型溶血性链球菌与肺炎链球菌相同的性状是||产生IgA1蛋白酶，破坏黏膜表面IgA||一般不发酵菊糖，不被胆汁溶解||能产生自溶酶，并可被胆汁激活||血平板上形成完全透明的溶血环||血平板上形成半透明不完全溶血环||E
致病力最强的是||金黄色葡萄球菌||表皮葡萄球菌||八叠球菌||腐生葡萄球菌||四联球菌||A
能引起食物中毒的是||金黄色葡萄球菌||表皮葡萄球菌||八叠球菌||腐生葡萄球菌||四联球菌||A
能产生SPA的是||金黄色葡萄球菌||表皮葡萄球菌||八叠球菌||腐生葡萄球菌||四联球菌||A
镜检为革兰阳性球菌，呈葡萄串状排列的是||葡萄球菌||乙型溶血性链球菌||肺炎链球菌||脑膜炎奈瑟菌||甲型溶血性链球菌||A
镜检为革兰阳性球菌，呈双排列的是||葡萄球菌||乙型溶血性链球菌||肺炎链球菌||脑膜炎奈瑟菌||甲型溶血性链球菌||C
镜检为革兰阴性双球菌，白细胞内外均可见是||葡萄球菌||乙型溶血性链球菌||肺炎链球菌||脑膜炎奈瑟菌||甲型溶血性链球菌||D
致病性葡萄球菌能产生||血浆凝固酶||链激酶||自溶酶||DNA多聚酶||神经氨酸酶||A
化脓性链球菌能产生||血浆凝固酶||链激酶||自溶酶||DNA多聚酶||神经氨酸酶||B
脑膜炎奈瑟菌能产生||血浆凝固酶||链激酶||自溶酶||DNA多聚酶||神经氨酸酶||C
使化脓性病灶局限的是||血浆凝固酶||透明质酸酶||肠毒素||自溶酶||耐热核酸酶||A
使化脓性病灶易扩散的是||血浆凝固酶||透明质酸酶||肠毒素||自溶酶||耐热核酸酶||B
导致细菌在短时期内死亡的是||血浆凝固酶||透明质酸酶||肠毒素||自溶酶||耐热核酸酶||D
使金葡菌引起食物中毒的是||血浆凝固酶||透明质酸酶||肠毒素||自溶酶||耐热核酸酶||C
引起人类猩红热的是||M蛋白||脂磷壁酸||透明质酸酶||链球菌溶血素O||致热外毒素||E
引起超敏反应性疾病的是||M蛋白||脂磷壁酸||透明质酸酶||链球菌溶血素O||致热外毒素||A
黏附宿主细胞的是||M蛋白||脂磷壁酸||透明质酸酶||链球菌溶血素O||致热外毒素||B
促使链球菌扩散的是||M蛋白||脂磷壁酸||透明质酸酶||链球菌溶血素O||致热外毒素||C
用于风湿热辅助诊断的是||Dick test||OT test||ASO test||PYR试验||血浆凝固酶试验||C
用于特异性检测A群链球菌||Dick test||OT test||ASO test||PYR试验||血浆凝固酶试验||D
用于测定金葡菌的致病性试验的是||Dick test||OT test||ASO test||PYR试验||血浆凝固酶试验||E
与鉴别葡萄球菌有无致病性有关的是||血浆凝固酶||SPA||菌落色素||噬菌体分型||肠毒素||A
与结合IgGFc段有关的是||血浆凝固酶||SPA||菌落色素||噬菌体分型||肠毒素||B
属于超抗原的是||血浆凝固酶||SPA||菌落色素||噬菌体分型||肠毒素||E
与食物中毒有关的是||血浆凝固酶||SPA||菌落色素||噬菌体分型||肠毒素||E
病灶脓液量多，淡红色，稀薄的是||大肠杆菌||拟杆菌||肠球菌||溶血性链球菌||金黄色葡萄球菌||D
病灶脓液量多，黄绿色，黏稠的是||大肠杆菌||拟杆菌||肠球菌||溶血性链球菌||金黄色葡萄球菌||E
利于细菌扩散的物质是||自溶酶||M蛋白||脂溶性色素||透明质酸酶||血浆凝固酶||D
与脐窝状菌落相关的是||自溶酶||M蛋白||脂溶性色素||透明质酸酶||血浆凝固酶||A
肺炎链球菌可产生||自溶酶||M蛋白||脂溶性色素||透明质酸酶||血浆凝固酶||A
与急性肾小球肾炎有关的是||自溶酶||M蛋白||脂溶性色素||透明质酸酶||血浆凝固酶||B

### 第九章 肠杆菌科
肠道致病菌和非致病菌在生化反应上的重要特点是||致病菌和非致病菌都发酵乳糖||多数致病菌不发酵乳糖，非致病菌发酵乳糖||多数非致病菌不发酵乳糖，致病菌发酵乳糖||致病菌和非致病菌都不发酵乳糖||以上都不是||B
主要引起肠道外感染的肠道杆菌是||肠产毒素性大肠埃希菌||普通大肠埃希菌||宋内志贺菌||伤寒沙门菌||鼠伤寒沙门菌||B
引起出血性结肠炎的细菌是||伤寒沙门菌||金黄色葡萄球菌||霍乱弧菌||O157:H7大肠埃希菌||希氏沙门菌||D
可引起菌痢样症状的大肠埃希菌是||肠产毒素性大肠埃希菌||肠侵袭性大肠埃希菌||肠致病性大肠埃希菌||肠集聚性大肠埃希菌||肠出血性大肠埃希菌||B
可引起霍乱样腹泻的大肠埃希菌是||肠产毒素性大肠埃希菌||肠侵袭性大肠埃希菌||肠致病性大肠埃希菌||肠集聚性大肠埃希菌||肠出血性大肠埃希菌||A
下列关于志贺菌的叙述，错误的是||无荚膜||不形成芽胞||有鞭毛||易出现耐药株||革兰染色阴性||C
志贺菌在我国常见的流行型别有||痢疾志贺菌和福氏志贺菌||福氏志贺菌和宋内志贺菌||鲍氏志贺菌和痢疾志贺菌||痢疾志贺菌||四种型别都有||B
关于痢疾志贺菌，说法正确的是||传染源为病人和带菌者||易入血引起败血症||志贺菌感染后能产生持久的免疫||福氏志贺菌因能产生外毒素，故引起的痢疾比较严重||以上都不对||A
对疾病人做微生物学检查，错误的是||分离培养细菌进行生化鉴定||取黏液性或脓血便涂片，革兰染色镜检||取标本接种于肠道选择培养基培养||最后进行血清学鉴定||所取标本及时送检||B
急性中毒性痢疾的主要临床表现有||全身中毒症状||腹痛、腹泻||剧烈呕吐||脓血黏液便||以上都不是||A
志贺菌引起中毒性痢疾的主要致病物质是||痉挛毒素||肠毒素||溶血毒素||内毒素||志贺毒素||D
欲对疑似肠热症患者进行沙门菌的分离与鉴定，病程第一周应采取的标本是||血液||粪便||尿液||胆汁||痰液||A
可辅助诊断肠热症的实验是||肥达试验||汹涌发酵试验||抗溶血素"O"试验||外斐反应||玻片凝集||A
肥达试验的原理是||协同凝集||非特异性凝集||间接凝集||定量凝集||以上都不是||D
伤寒病后带菌者的细菌主要存留部位通常是||肠系膜淋巴结||肝||胆囊||咽喉部||结肠壁||C
伤寒沙门菌Vi抗体的检查可用于||早期诊断||观察超敏反应||调查带菌者||检查免疫力||以上都不是||C
可从尿中检测出病原体的疾病是||痢疾||霍乱||伤寒||风湿热||以上都不行||C
机体抗伤寒沙门菌感染主要依靠||天然免疫||补体||体液免疫||细胞免疫||吞噬细胞||D
疑似志贺菌感染的粪便标本在选择培养时宜选用||SS平板||普通平板||血平板||罗氏培养基||巧克力色平板||A
从粪便中分离的肠道杆菌，如果不分解乳糖，分解葡萄糖产酸产气，产生硫化氢，该菌最可能是||痢疾志贺菌||大肠埃希菌||伤寒沙门菌||肖氏沙门菌||以上都不是||D
感染过程中一般不通过血流播散的细菌是||痢疾志贺菌||大肠埃希菌||伤寒沙门菌||肖氏沙门菌||以上都不是||A
患者，女，42岁。于前日参加聚餐，昨日感到不适，今晨起发热，腹痛，水样腹泻，至下午就诊时已腹泻6次。第4次腹泻量不多，但便中有黏液样物质，色红；第5次，想大便，但无粪便排出，第6次拉出一点黏液和血。请问，最可能引起该疾病的病原体及主要致病物质是||肠产毒素性大肠埃希菌，肠毒素||鼠伤寒沙门菌，肠毒素||福氏志贺菌，内毒素||痢疾志贺菌，志贺毒素||金黄色葡萄球菌，肠毒素||C
对上述患者进行微生物学检查，应采取何种标本||血液||粪便||尿液||胆汁||痰液||B
患者，男，21岁，因发热、畏寒，倦怠头晕7天入院，入院时体温39.5°C，脉搏88次/分，呼吸28次/分，舌尖红，苔黄厚腻，心肺(-)，肝肋下一指有轻度触痛，脾在肋下2cm，白细胞数偏低。入院后2天，右下胸出现淡红色皮疹数个。请问患者最可能患有何种疾病，由何种病原体感染引起||出血性结肠炎，肠出血性大肠埃希菌||急性胃肠炎，鼠伤寒沙门菌||甲肝，甲型肝炎病毒||伤寒沙门菌，肠热症||细菌性痢疾，福氏志贺菌||D
在题3患者血液标本中检出革兰阴性中等大小杆菌，不分解乳糖，该病原体可能具有||志贺毒素||Vi抗原||O139抗原||尿素酶||K1抗原||B
大肠埃希菌||IMViC试验结果为-+++||IMViC试验结果为++--||IMViC试验结果为+-+||IMViC试验结果为++-||IMViC试验结果为--++||D
产气肠杆菌||IMViC试验结果为-+++||IMViC试验结果为++--||IMViC试验结果为+-+||IMViC试验结果为++-||IMViC试验结果为--++||E
引起出血性结肠炎的细菌是||肠产毒素性大肠埃希菌||肠致病性大肠埃希菌||肠侵袭性大肠埃希菌||肠出血性大肠埃希菌||肠集聚性大肠埃希菌||D
不产生毒素，主要引起婴幼儿腹泻的细菌是||肠产毒素性大肠埃希菌||肠致病性大肠埃希菌||肠侵袭性大肠埃希菌||肠出血性大肠埃希菌||肠集聚性大肠埃希菌||B
能产生志贺样毒素的大肠埃希菌是||肠产毒素性大肠埃希菌||肠致病性大肠埃希菌||肠侵袭性大肠埃希菌||肠出血性大肠埃希菌||肠集聚性大肠埃希菌||D
引起婴儿和旅游者腹泻的大肠杆菌是||肠产毒素性大肠埃希菌||肠致病性大肠埃希菌||肠侵袭性大肠埃希菌||肠出血性大肠埃希菌||肠集聚性大肠埃希菌||A
可产生外毒素的细菌是||痢疾志贺菌||福氏志贺菌||伤寒沙门菌||宋内志贺菌||副甲伤寒沙门菌||A
发酵葡萄糖产酸产气的细菌是||痢疾志贺菌||福氏志贺菌||伤寒沙门菌||宋内志贺菌||副甲伤寒沙门菌||E
迟缓发酵乳糖的细菌是||痢疾志贺菌||福氏志贺菌||伤寒沙门菌||宋内志贺菌||副甲伤寒沙门菌||D
发酵葡萄糖产酸不产气，但有动力的细菌是||痢疾志贺菌||福氏志贺菌||伤寒沙门菌||宋内志贺菌||副甲伤寒沙门菌||C
痢疾志贺菌感染后||病情多较重||多倾向轻型感染||多倾向转变为慢性||多倾向急性中毒型||多倾向无症状带菌者||A
宋内志贺菌感染后||病情多较重||多倾向轻型感染||多倾向转变为慢性||多倾向急性中毒型||多倾向无症状带菌者||B
福氏志贺菌感染后||病情多较重||多倾向轻型感染||多倾向转变为慢性||多倾向急性中毒型||多倾向无症状带菌者||C
鼠伤寒沙门菌可引起的疾病是||肠热症||尿路感染||食物中毒||霍乱||菌痢||C
志贺菌可引起的疾病是||肠热症||尿路感染||食物中毒||霍乱||菌痢||E
伤寒沙门菌可引起的疾病是||肠热症||尿路感染||食物中毒||霍乱||菌痢||A
伤寒发病第1周检查病原体应进行||尿培养||血培养||粪便培养||脓液培养||骨髓培养||B
伤寒整个病程检查病原体均可进行||尿培养||血培养||粪便培养||脓液培养||骨髓培养||E
可用于伤寒症辅助诊断的是||肥达试验||神奈川试验||锡克试验||外斐反应||抗"O"试验||A
用于鉴定致病性副溶血弧菌的是||肥达试验||神奈川试验||锡克试验||外斐反应||抗"O"试验||B
肥达试验中O，H凝集效价均超过正常值，可诊断为||伤寒或副伤寒早期或其他沙门菌感染||伤寒带菌者||肠热症||患肠热症的可能性甚小||曾接受过伤寒或副伤寒菌苗接种或非特异回忆反应||A
病程第3周，肥达试验中O，H凝集效价均低于正常值，可诊断为||伤寒或副伤寒早期或其他沙门菌感染||伤寒带菌者||肠热症||患肠热症的可能性甚小||曾接受过伤寒或副伤寒菌苗接种或非特异回忆反应||B
肥达试验中O凝集效价高而H凝集效价不高，可诊断为||伤寒或副伤寒早期或其他沙门菌感染||伤寒带菌者||肠热症||患肠热症的可能性甚小||曾接受过伤寒或副伤寒菌苗接种或非特异回忆反应||C
肥达试验中H凝集效价高而O凝集效价不高，可诊断为||伤寒或副伤寒早期或其他沙门菌感染||伤寒带菌者||肠热症||患肠热症的可能性甚小||曾接受过伤寒或副伤寒菌苗接种或非特异回忆反应||D
培养沙门菌或志贺菌选用||巧克力(色)血琼脂平板||碱性琼脂平板||亚碲酸钾琼脂平板||SS琼脂平板||B-G(Bordet-Gengou)琼脂平板||D
培养霍乱弧菌选用||巧克力(色)血琼脂平板||碱性琼脂平板||亚碲酸钾琼脂平板||SS琼脂平板||B-G(Bordet-Gengou)琼脂平板||B
副溶血性弧菌||致病物质主要是肠毒素||致病物质主要是内毒素||致病物质可能是溶血素||致病物质主要是荚膜||致病物质主要是侵袭酶类||C
霍乱弧菌||致病物质主要是肠毒素||致病物质主要是内毒素||致病物质可能是溶血素||致病物质主要是荚膜||致病物质主要是侵袭酶类||A
伤寒沙门菌||致病物质主要是肠毒素||致病物质主要是内毒素||致病物质可能是溶血素||致病物质主要是荚膜||致病物质主要是侵袭酶类||B
霍乱弧菌培养用||琼脂平板||吕氏血清斜面||碱性蛋白胨水||高盐(含3.5%NaCl)蛋白水||巧克力色血平板||C
培养副溶血弧菌选用||琼脂平板||吕氏血清斜面||碱性蛋白胨水||高盐(含3.5%NaCl)蛋白水||巧克力色血平板||D
志贺菌可能性大||乳糖不发酵，葡萄糖产酸产气，有动力||乳糖不发酵，葡萄糖产酸不产气，无动力||乳糖不发酵，葡萄糖产酸不产气，有动力||乳糖发酵，葡萄糖产酸产气，有动力||乳糖发酵，葡萄糖产酸产气，无动力||B
伤寒沙门菌可能性大||乳糖不发酵，葡萄糖产酸产气，有动力||乳糖不发酵，葡萄糖产酸不产气，无动力||乳糖不发酵，葡萄糖产酸不产气，有动力||乳糖发酵，葡萄糖产酸产气，有动力||乳糖发酵，葡萄糖产酸产气，无动力||C
大肠埃希菌可能性大||乳糖不发酵，葡萄糖产酸产气，有动力||乳糖不发酵，葡萄糖产酸不产气，无动力||乳糖不发酵，葡萄糖产酸不产气，有动力||乳糖发酵，葡萄糖产酸产气，有动力||乳糖发酵，葡萄糖产酸产气，无动力||D
可能为其他沙门菌或变形杆菌||乳糖不发酵，葡萄糖产酸产气，有动力||乳糖不发酵，葡萄糖产酸不产气，无动力||乳糖不发酵，葡萄糖产酸不产气，有动力||乳糖发酵，葡萄糖产酸产气，有动力||乳糖发酵，葡萄糖产酸产气，无动力||A

### 第十章 弧菌属
霍乱弧菌的初次分离培养常用的培养基是||SS琼脂平板||血琼脂平板||巧克力色平板||碱性蛋白胨水或碱性琼脂平板||我妻琼脂平板||D
不能引发霍乱的霍乱弧菌是||O139群||古典生物型霍乱弧菌||EI Tor生物型霍乱弧菌||O138群||小川型霍乱弧菌||D
检测副溶血性弧菌致病性的试验是||肥达试验||神奈川现象||PPD试验||锡克试验||抗"O"试验||B
下列细菌的悬滴标本在暗视野显微镜下观察呈快速飞镖样运动的是||金黄色葡萄球菌||链球菌||霍乱弧菌||白喉棒状杆菌||结核分枝杆菌||C
霍乱弧菌感染引发霍乱后，患者的粪便呈||黏液脓血便||果酱样粪便||柏油样便||米泔水样便||黄色稀便||D
O1群霍乱弧菌的主要致病物质是||外毒素||内毒素||性菌毛||荚膜||IgA酶||A
霍乱弧菌古典生物型和EITor生物型的鉴别试验之一是||革兰染色||动力试验||吲哚试验||O抗原凝集试验||羊红细胞溶血试验||E
与O1群霍乱弧菌比较，O139群独有的致病物质是||荚膜||霍乱毒素||菌毛||鞭毛||HapA||A
1992年在南亚流行霍乱分离出的霍乱弧菌是||古典生物型||EI Tor生物型||O1群||O139群||O92群||D
霍乱弧菌引发腹泻与肠黏膜细胞内何种物质升高有关||cAMP||Na⁺||cGMP||ATP||Cl⁻||A
关于霍乱毒素特性的描述，不恰当的是||是最强的致泻毒素||由1个A亚单位和5个B亚单位组成||化学本质是蛋白质||受体是GM1神经节苷脂受体||由细菌固有的染色体基因编码||E
我国沿海和海岛地区细菌性胃肠炎的主要病原是||副溶血性弧菌||沙门菌||肠致病性大肠埃希菌||霍乱弧菌||蜡样芽胞杆菌||A
副溶血性弧菌所致疾病常与海产品或盐腌制食品有关，是因为该菌||神奈川现象阳性||嗜盐||耐碱||可产生TDH||具有II型分泌系统||B
弧菌主要分布于||土壤||空气||水||人和动物肠道||皮肤表面||C
一旅游团，在三亚旅游，进食牡蛎、贝类等海鲜后1天左右，先后有8人出现恶心、呕吐、腹痛、腹泻和低热，粪便多呈水样，1例为血水样。粪便培养后镜检发现有革兰阴性杆菌。引发该起食物中毒事故最可能的致病菌是||副溶血性弧菌||艰难梭菌||金黄色葡萄球菌||沙门菌||产气荚膜梭菌||A
上述(第15题)病例标本中分离到的病原体，进一步检测发现神奈川现象阳性、嗜盐、在TCBS培养基上形成绿色菌落。该病原体产生的主要致病物质是||痉挛毒素||内毒素||α毒素||凝固酶||TDH||E
王某，男，36岁，3周前到孟加拉国旅游。昨日回国当天出现严重腹泻和呕吐，伴有低热，粪便呈"米水样"，伴有肌肉的痉挛性疼痛，停止排尿。入院查体：体温37.8°C，呼吸26次/分，脉搏120次/分，血压85/55mmHg。神志淡漠，皮肤干燥缺乏弹性，眼窝下陷；肠鸣音亢进。"米水"样粪便滴片观察显示有飞镖样运动活菌存在；粪便标本经分离培养、生化鉴定和血清学试验确定了感染病原体。引发该病最可能的病原体是||沙门菌||艰难梭菌||空肠弯曲菌||霍乱弧菌||志贺菌||D
上述(第17题)致病菌的毒素引起腹泻的机制是||引起细胞内ATP升高||引起细胞内cGMP升高||引起细胞内cAMP升高||阻断EF-2的作用，抑制细胞蛋白质的合成||产生TDH和TRH||C
上述(第17题)致病菌从粪便中分离时常用的增菌培养基是||TCBS培养基||碱性蛋白胨水||营养肉汤||亚碲酸钾培养基||我妻培养基||B
霍乱弧菌最主要的致病物质是||霍乱毒素||毒素共调节菌毛A(TcpA)||荚膜||鞭毛||HapA||A
O139群独有的致病物质是||霍乱毒素||毒素共调节菌毛A(TcpA)||荚膜||鞭毛||HapA||C
与霍乱弧菌在液体中呈快速飞镖样运动有关的是||霍乱毒素||毒素共调节菌毛A(TcpA)||荚膜||鞭毛||HapA||D
霍乱弧菌不具备的特性||革兰染色阳性||暗视野显微镜下呈飞镖样运动||嗜碱性||对酸敏感||分解蔗糖||A
与霍乱弧菌在TCBS上形成黄色菌落有关||革兰染色阳性||暗视野显微镜下呈飞镖样运动||嗜碱性||对酸敏感||分解蔗糖||E
与霍乱弧菌初次分离培养选择培养基有关||革兰染色阳性||暗视野显微镜下呈飞镖样运动||嗜碱性||对酸敏感||分解蔗糖||C
造成霍乱弧菌感染剂量较高||革兰染色阳性||暗视野显微镜下呈飞镖样运动||嗜碱性||对酸敏感||分解蔗糖||D

### 第十一章 螺杆菌属
与慢性胃炎和消化性溃疡密切相关的病原菌为||空肠弯曲菌||变形杆菌||大肠埃希菌||鼠伤寒沙门菌||幽门螺杆菌||E
可作为快速鉴定幽门螺杆菌的试验是||尿素酶试验||吲哚实验||乳糖发酵试验||肥达试验||菊糖发酵试验||A
不属于幽门螺杆菌的致病物质的是||尿素酶||鞭毛||VacA||CagA||荚膜||E
关于幽门螺杆菌培养的描述错误的是||微需氧||生长时需二氧化碳||最适生长pH为6~8||营养要求简单，可在普通培养基生长||37°C培养3~5天后可见针尖状无色透明菌落||D
幽门螺杆菌的主要传播途径是||飞沫传播||粪口传播||性接触传播||虫媒传播||血液传播||B
关于幽门螺杆菌的描述正确的是||革兰染色阳性||有单鞭毛||菌体螺旋形弯曲||有芽胞||有荚膜||C
幽门螺杆菌在下列哪种气体环境中生长最佳||5%N₂、10%CO₂和85%O₂||70%N₂、15%CO₂和15%O₂||85%N₂、5%CO₂和10%O₂||10%N₂、5%CO₂和85%O₂||85%N₂、10%CO₂和5%O₂||E
幽门螺杆菌感染早期血清中可测得||IgG||IgM||IgA||IgD||IgE||B
患者，男性，31岁，因近日出现上腹部疼痛、腹胀、反酸来医院就诊，经胃镜检查诊断为慢性浅表性胃炎，胃黏膜活检组织行快速尿素酶试验检测为阳性。引起该疾病的病原体最有可能是||大肠埃希菌||空肠弯曲菌||幽门螺杆菌||霍乱弧菌||志贺氏菌||C
男，40岁，上腹部不适伴有消化不良症状1个月，既往体健。胃镜检查结果为胃黏膜相关性淋巴瘤，与该病发生密切相关的病原体是||轮状病毒||HIV||空肠弯曲菌||幽门螺杆菌||布鲁菌||D
幽门螺杆菌能够克服胃内酸性环境而生存的主要物质是||尿素酶||鞭毛||菌毛||细胞毒素相关蛋白A||空泡毒素A||A
与幽门螺杆菌致癌密切相关的是||尿素酶||鞭毛||菌毛||细胞毒素相关蛋白A||空泡毒素A||D
### 第十二章 厌氧性细菌
破伤风梭菌在血平皿上生长的菌落特点是||菌落周围双层溶血环||无溶血||形成菜花样菌落||形成脐状菌落||形成羽毛状菌落||E
注射TAT的目的是||对易感人群进行预防接种||对破伤风病人进行治疗和紧急预防||杀灭伤口中破伤风梭菌的繁殖体||用于儿童的计划免疫||中和与神经细胞结合的外毒素||B
能在血平皿上形成双层溶血环的细菌是||产气荚膜梭菌||肉毒梭菌||炭疽芽胞杆菌||白喉棒状杆菌||鼠疫耶尔森菌||A
产气荚膜梭菌的培养特点是||血平皿上产生β溶血环||牛乳培养基中产生"汹涌发酵"||在含亚碲酸钾的培养基中菌落变黑||分离培养用SS培养基||培养基中需加入煌绿||B
A型产气荚膜梭菌产生的毒性最强、量最大的毒素是||胶原酶||肠毒素||透明质酸酶||磷脂酶C||θ毒素||D
产气荚膜梭菌可引起||假膜性肠炎||烫伤样皮肤综合征||食物中毒||TSS||亚急性细菌性心内膜炎||C
引起气性坏疽的细菌是||乙型溶血性链球菌||艰难梭菌||炭疽芽胞杆菌||结核分枝杆菌||产气荚膜梭菌||E
治疗气性坏疽可使用||高压氧舱||注射TAT||口服利福平||肌内注射链霉素||静脉滴注庆大霉素||A
肉毒毒素的特点是||可被肠道蛋白酶水解||引起肌肉强制性收缩||引起肌肉大块坏死||引起肌肉弛缓性麻痹||沿神经轴突上行||D
肉毒毒素芽胞的特点是||椭圆形，位于菌体顶端||椭圆形，位于菌体次级端||正圆形，位于菌体顶端||正圆形，位于菌体次级端||椭圆形，小于菌体||B
肉毒梭菌的作用部位是||脊髓前角||脊髓后角||外周神经肌肉接头处||呕吐中枢||血管内皮||C
肉毒梭菌的致病机制||抑制细胞蛋白质合成||阻碍乙酰胆碱释放||激活腺苷酸环化酶||与抗体Fc段非特异性结合||破坏CD4⁺T细胞||B
肉毒中毒最常见的感染途径是||食用污染食物||污染伤口||节肢动物叮咬||吸入污染的空气||接触肉毒中毒病人的生活用品||A
下列细菌不能在土壤中长期存活的是||产气荚膜梭菌||破伤风梭菌||肺炎链球菌||炭疽芽胞杆菌||枯草杆菌||C
无芽胞厌氧菌的特点是||形态特征有鉴别意义||只能用抗酸染色||主要引起外源性感染||在肠道内数量是需氧菌的1000倍以上||菌体内形成异染颗粒||D
一建筑工人因铁钉深刺足底造成外伤送医院急诊时，医生应首先考虑给予注射||破伤风类毒素||破伤风抗毒素||白喉、百日咳、破伤风三联疫苗||丙种球蛋白||破伤风菌苗||B
一名6岁男童不慎跌倒，左足跟部被铁钉扎伤4小时入院。患儿两年前曾注射过DPT，预防破伤风，此次应||注射破伤风类毒素0.5ml||注射破伤风类毒素1ml||注射破伤风免疫球蛋白||注射破伤风抗毒素||注射青霉素||A
某患者食物中毒后，取剩余食物进行分离培养和鉴定。培养物检测结果为：G⁺粗大杆菌，无鞭毛，有荚膜。判断病原菌最可能是||破伤风梭菌||产气荚膜梭菌||肉毒梭菌||炭疽芽胞杆菌||白喉棒状杆菌||B
某患者大面积烧伤，伤口坏死组织多，应该首先采取的治疗措施是||清创、扩创、注射TAT||清创、扩创、注射DPT||清创、扩创、注射OT||简单处理伤口以便减少患者的伤痛||立即注射大剂量链霉素||A
一名28岁女性牙痛就医，经诊断为牙周脓肿。应该考虑给予何种抗生素治疗||利巴韦林||青霉素肌注||口服头孢霉素||克林霉素||红霉素||D
可引起腹泻症状的是||猩红热毒素||白喉外毒素||霍乱肠毒素||破伤风痉挛毒素||肉毒毒素||C
能阻止抑制性突触释放神经介质||猩红热毒素||白喉外毒素||霍乱肠毒素||破伤风痉挛毒素||肉毒毒素||D
可引起肽链延长因子的抑制||猩红热毒素||白喉外毒素||霍乱肠毒素||破伤风痉挛毒素||肉毒毒素||B
可引起气性坏疽的是||炭疽芽胞杆菌||产气荚膜杆菌||结核分枝杆菌||铜绿假单胞菌||幽门螺杆菌||B
烧伤患者常见的感染菌是||炭疽芽胞杆菌||产气荚膜杆菌||结核分枝杆菌||铜绿假单胞菌||幽门螺杆菌||D
与慢性胃炎有较密切关系的是||炭疽芽胞杆菌||产气荚膜杆菌||结核分枝杆菌||铜绿假单胞菌||幽门螺杆菌||E

### 第十三章 分枝杆菌属
分枝杆菌属细菌最显著的特点是||生长迅速||胞壁中含有大量脂质||抵抗力弱||不容易变异||有芽胞||B
在固体培养基上生长最慢的细菌是||麻风分枝杆菌||结核分枝杆菌||大肠埃希菌||布鲁菌||破伤风梭菌||B
结核分枝杆菌脂质中比重较大并可引起慢性肉芽肿的是||脂阿拉伯甘露糖||海藻糖6,6'-二分枝菌酸||磷脂||硫酸脑苷脂||磷脂酰肌醇甘露糖苷||B
关于结核分枝杆菌原发感染说法错误的是||多见于儿童||可形成特征性的原发综合征||不随淋巴、血流扩散||原发灶大多可纤维化和钙化而自愈||为初次感染结核分枝杆菌||C
关于结核分枝杆菌原发后感染说法错误的是||大多数为外源性感染||多见于成年人||感染的病灶局限一般不扩散||主要表现为慢性肉芽肿性炎症||病变常在肺尖部||A
关于结核分枝杆菌感染后机体免疫反应说法正确的是||抗结核免疫主要是细胞免疫||抗结核免疫主要是体液免疫||不发生超敏反应||人体感染结核分枝杆菌后即成为患者||感染率等于发病率||A
关于结核分枝杆菌微生物学检查法说法错误的是||根据病变部位，采取合适的样本||样本不能用酸碱处理||如果查到抗酸杆菌，报告"查到抗酸杆菌"||分离培养需要较长时间||敏感实验动物为豚鼠||B
